date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,DayMonth
2010-03-26,25.0,31.6,28.1,83.0,0.0,0.8,5.0,210.0,2.0,W ,96741,26-03
2010-03-27,26.0,32.8,29.6,71.0,,5.1,4.0,270.0,2.0,W ,96741,27-03
2010-03-28,28.0,31.4,28.7,83.0,21.6,1.6,4.0,280.0,2.0,W ,96741,28-03
2010-03-29,26.0,31.8,27.6,82.0,14.0,5.2,5.0,300.0,3.0,W ,96741,29-03
2010-03-30,25.0,30.6,26.0,90.0,5.5,1.0,5.0,230.0,2.0,S ,96741,30-03
2010-03-31,25.0,32.4,28.6,75.0,5.5,6.8,4.0,300.0,2.0,NW,96741,31-03
2010-04-01,25.0,32.7,29.5,74.0,0.0,8.0,5.0,40.0,2.0,W ,96741,01-04
2010-04-02,26.0,32.8,28.4,76.0,13.7,7.6,4.0,270.0,2.0,W ,96741,02-04
2010-04-03,27.0,32.8,28.8,75.0,0.0,3.6,5.0,270.0,3.0,W ,96741,03-04
2010-04-04,25.0,32.8,29.4,75.0,0.0,3.3,4.0,270.0,3.0,E ,96741,04-04
2010-04-05,26.0,33.0,28.2,76.0,3.5,7.0,5.0,60.0,2.0,NE,96741,05-04
2010-04-06,26.0,33.1,29.0,73.0,0.0,8.0,3.0,340.0,2.0,N ,96741,06-04
2010-04-07,26.0,34.0,29.8,74.0,0.2,5.5,5.0,250.0,3.0,W ,96741,07-04
2010-04-08,27.0,32.6,29.1,79.0,1.0,1.4,5.0,270.0,2.0,SW,96741,08-04
2010-04-09,27.0,33.0,29.9,76.0,0.0,0.0,5.0,280.0,3.0,SW,96741,09-04
2010-04-10,27.0,32.9,29.4,75.0,0.0,8.0,4.0,310.0,3.0,W ,96741,10-04
2010-04-11,27.0,33.2,29.5,71.0,0.0,1.5,4.0,270.0,2.0,W ,96741,11-04
2010-04-12,27.0,33.4,29.3,75.0,0.0,8.0,5.0,20.0,2.0,N ,96741,12-04
2010-04-13,26.0,34.0,29.9,73.0,0.0,7.4,5.0,70.0,2.0,E ,96741,13-04
2010-04-14,27.0,33.4,29.9,74.0,0.0,1.0,4.0,310.0,2.0,W ,96741,14-04
2010-04-15,28.0,34.5,30.4,75.0,0.0,1.8,5.0,230.0,4.0,SW,96741,15-04
2010-04-16,28.0,31.6,28.5,70.0,2.7,0.0,9.0,260.0,5.0,W ,96741,16-04
2010-04-17,28.0,32.8,29.3,76.0,0.0,3.0,4.0,250.0,3.0,W ,96741,17-04
2010-04-18,27.0,34.0,29.7,68.0,0.0,0.7,5.0,270.0,3.0,W ,96741,18-04
2010-04-19,27.0,33.6,30.0,72.0,0.0,5.5,5.0,230.0,4.0,SW,96741,19-04
2010-04-20,27.0,34.0,29.8,70.0,0.0,3.9,8.0,300.0,4.0,W ,96741,20-04
2010-04-21,27.0,33.1,30.2,70.0,0.0,6.5,5.0,340.0,3.0,SW,96741,21-04
2010-04-22,27.0,33.2,30.2,72.0,0.0,2.8,5.0,240.0,3.0,W ,96741,22-04
2010-04-23,28.0,33.8,30.1,75.0,0.0,4.7,7.0,270.0,4.0,W ,96741,23-04
2010-04-24,27.0,34.0,30.2,72.0,0.0,1.5,4.0,340.0,2.0,NW,96741,24-04
2010-04-25,27.0,33.0,29.9,70.0,0.0,4.5,4.0,30.0,2.0,NE,96741,25-04
2010-04-26,28.0,33.2,29.9,72.0,0.0,8.0,5.0,40.0,3.0,NW,96741,26-04
2010-04-27,28.0,33.0,29.7,73.0,0.0,5.2,5.0,220.0,3.0,SW,96741,27-04
2010-04-28,27.0,33.3,29.7,71.0,0.0,7.7,4.0,250.0,3.0,W ,96741,28-04
2010-04-29,27.0,33.6,30.3,71.0,0.0,6.2,4.0,50.0,2.0,NE,96741,29-04
2010-04-30,27.0,34.8,30.2,73.0,0.0,7.7,5.0,20.0,3.0,SE,96741,30-04
2010-05-01,28.0,34.2,30.7,72.0,0.0,7.2,5.0,80.0,3.0,E ,96741,01-05
2010-05-02,28.0,34.4,29.8,77.0,1.5,5.2,5.0,30.0,2.0,SE,96741,02-05
2010-05-03,28.0,35.0,30.6,70.0,0.0,7.9,5.0,110.0,3.0,NE,96741,03-05
2010-05-04,27.0,33.7,29.0,78.0,1.5,4.8,5.0,70.0,4.0,E ,96741,04-05
2010-05-05,27.0,32.6,28.7,78.0,0.0,1.0,6.0,90.0,3.0,SE,96741,05-05
2010-05-06,26.0,34.0,29.7,73.0,0.0,6.6,5.0,120.0,3.0,E ,96741,06-05
2010-05-07,27.0,34.0,30.2,74.0,0.0,7.7,6.0,60.0,3.0,NE,96741,07-05
2010-05-08,28.0,31.8,28.8,81.0,0.0,1.0,6.0,60.0,3.0,S ,96741,08-05
2010-05-09,27.0,33.6,29.8,73.0,1.3,7.7,4.0,300.0,2.0,NE,96741,09-05
2010-05-10,26.0,32.4,27.9,78.0,20.0,2.0,4.0,20.0,2.0,N ,96741,10-05
2010-05-11,26.0,32.5,28.4,80.0,0.0,7.2,4.0,40.0,1.0,N ,96741,11-05
2010-05-12,26.0,33.6,29.0,74.0,0.0,4.2,7.0,290.0,3.0,W ,96741,12-05
2010-05-13,27.0,31.6,27.9,84.0,3.8,3.5,5.0,290.0,2.0,S ,96741,13-05
2010-05-14,26.0,32.2,27.8,80.0,0.0,5.3,3.0,360.0,2.0,NW,96741,14-05
2010-05-15,26.0,33.0,29.1,75.0,0.0,7.5,4.0,160.0,2.0,N ,96741,15-05
2010-05-16,28.0,32.3,27.1,90.0,11.0,1.7,4.0,270.0,2.0,SE,96741,16-05
2010-05-17,26.0,32.9,28.6,78.0,0.0,5.8,4.0,70.0,2.0,NE,96741,17-05
2010-05-18,26.0,33.4,29.9,73.0,1.2,7.2,3.0,350.0,2.0,N ,96741,18-05
2010-05-19,28.0,33.6,30.8,72.0,4.2,7.0,4.0,150.0,2.0,N ,96741,19-05
2010-05-20,27.0,33.4,28.2,82.0,0.0,2.9,5.0,50.0,2.0,S ,96741,20-05
2010-05-21,25.0,33.2,29.4,72.0,0.0,7.7,3.0,340.0,2.0,N ,96741,21-05
2010-05-22,27.0,33.4,29.8,71.0,85.2,6.8,4.0,290.0,2.0,W ,96741,22-05
2010-05-23,24.0,33.0,29.2,79.0,3.4,6.5,3.0,360.0,1.0,N ,96741,23-05
2010-05-24,26.0,33.4,29.4,76.0,0.0,3.5,6.0,50.0,2.0,NE,96741,24-05
2010-05-25,27.0,33.6,29.3,77.0,0.0,7.8,4.0,30.0,2.0,NE,96741,25-05
2010-05-26,27.0,33.6,29.4,74.0,0.0,7.9,3.0,360.0,2.0,N ,96741,26-05
2010-05-27,27.0,32.0,28.8,74.0,0.0,0.6,4.0,120.0,2.0,NE,96741,27-05
2010-05-28,26.0,33.6,29.3,74.0,0.0,5.5,5.0,70.0,3.0,E ,96741,28-05
2010-05-29,27.0,33.4,30.0,72.0,0.0,6.5,5.0,60.0,2.0,E ,96741,29-05
2010-05-30,27.0,34.0,29.9,72.0,0.0,6.9,4.0,40.0,2.0,NE,96741,30-05
2010-05-31,28.0,33.0,29.9,73.0,1.0,6.0,4.0,100.0,2.0,NE,96741,31-05
2010-06-01,27.0,32.8,29.3,78.0,43.0,7.1,4.0,20.0,2.0,NE,96741,01-06
2010-06-02,26.0,32.8,28.9,80.0,0.0,6.0,4.0,10.0,1.0,N ,96741,02-06
2010-06-03,26.0,33.3,30.0,76.0,0.0,7.7,4.0,30.0,2.0,NE,96741,03-06
2010-06-04,27.0,31.8,29.2,77.0,50.0,0.7,4.0,30.0,2.0,SE,96741,04-06
2010-06-05,24.0,32.4,28.0,80.0,0.4,6.2,4.0,30.0,2.0,NE,96741,05-06
2010-06-06,27.0,30.6,28.2,83.0,0.2,2.0,4.0,320.0,2.0,NW,96741,06-06
2010-06-07,27.0,32.2,28.8,78.0,0.0,3.0,4.0,50.0,2.0,NE,96741,07-06
2010-06-08,27.0,29.8,27.6,81.0,2.6,0.0,4.0,310.0,2.0,S ,96741,08-06
2010-06-09,25.0,32.4,28.0,74.0,0.0,5.0,3.0,50.0,2.0,SE,96741,09-06
2010-06-10,25.0,31.4,28.8,77.0,0.0,0.5,4.0,120.0,3.0,SE,96741,10-06
2010-06-11,27.0,33.2,29.3,76.0,0.0,6.4,6.0,60.0,3.0,SE,96741,11-06
2010-06-12,27.0,32.8,28.8,76.0,0.0,2.7,4.0,70.0,2.0,E ,96741,12-06
2010-06-13,26.0,33.4,29.3,75.0,0.0,7.7,5.0,50.0,3.0,SE,96741,13-06
2010-06-14,27.0,33.4,29.6,74.0,0.0,2.7,5.0,60.0,3.0,SE,96741,14-06
2010-06-15,28.0,32.3,28.9,74.0,0.0,6.3,5.0,330.0,2.0,SW,96741,15-06
2010-06-16,26.0,26.8,26.2,85.0,10.2,0.0,2.0,310.0,0.0,W ,96741,16-06
2010-06-17,25.0,29.9,27.5,81.0,0.0,0.2,4.0,80.0,2.0,NE,96741,17-06
2010-06-18,26.0,31.6,28.2,78.0,4.3,2.9,3.0,30.0,2.0,N ,96741,18-06
2010-06-19,25.0,31.8,27.2,84.0,0.8,4.2,5.0,120.0,3.0,SE,96741,19-06
2010-06-20,26.0,32.2,28.4,78.0,0.0,4.0,7.0,60.0,4.0,E ,96741,20-06
2010-06-21,27.0,32.6,29.1,75.0,0.0,7.5,5.0,80.0,3.0,E ,96741,21-06
2010-06-22,26.0,33.9,28.9,71.0,0.0,7.0,5.0,110.0,3.0,E ,96741,22-06
2010-06-23,26.0,32.4,28.1,71.0,9.2,4.2,4.0,30.0,2.0,NE,96741,23-06
2010-06-24,26.0,31.2,27.5,84.0,44.0,2.7,4.0,50.0,2.0,NE,96741,24-06
2010-06-25,24.0,30.3,27.1,82.0,1.0,4.1,4.0,50.0,2.0,NE,96741,25-06
2010-06-26,25.0,31.8,28.3,80.0,0.0,4.0,4.0,340.0,2.0,SE,96741,26-06
2010-06-27,26.0,32.1,28.3,76.0,0.0,7.6,5.0,50.0,2.0,NE,96741,27-06
2010-06-28,26.0,30.8,28.2,80.0,0.0,0.4,3.0,50.0,2.0,SE,96741,28-06
2010-06-29,26.0,30.6,27.3,85.0,7.0,3.2,11.0,40.0,3.0,SE,96741,29-06
2010-06-30,25.0,32.0,28.3,78.0,0.0,5.0,5.0,50.0,3.0,E ,96741,30-06
2010-07-01,26.0,32.4,28.6,75.0,0.0,5.3,6.0,60.0,3.0,SE,96741,01-07
2010-07-02,26.0,32.2,29.1,72.0,0.0,6.7,5.0,270.0,3.0,S ,96741,02-07
2010-07-03,26.0,29.9,27.7,80.0,2.5,0.0,4.0,340.0,2.0,NE,96741,03-07
2010-07-04,25.0,32.2,28.6,74.0,0.0,7.4,4.0,120.0,2.0,SE,96741,04-07
2010-07-05,26.0,31.8,28.5,74.0,0.0,4.0,4.0,50.0,2.0,E ,96741,05-07
2010-07-06,27.0,32.2,29.1,77.0,0.0,6.0,4.0,20.0,2.0,N ,96741,06-07
2010-07-07,27.0,33.0,28.8,80.0,10.1,4.0,4.0,50.0,2.0,NE,96741,07-07
2010-07-08,27.0,31.6,28.0,81.0,0.0,7.0,5.0,280.0,3.0,W ,96741,08-07
2010-07-09,25.0,32.0,28.8,71.0,0.0,7.7,4.0,60.0,2.0,S ,96741,09-07
2010-07-10,26.0,32.2,28.4,76.0,0.3,4.5,5.0,90.0,3.0,SE,96741,10-07
2010-07-11,26.0,31.4,28.7,77.0,0.0,4.9,3.0,30.0,2.0,NE,96741,11-07
2010-07-12,27.0,32.8,29.2,75.0,1.1,7.5,4.0,50.0,3.0,SE,96741,12-07
2010-07-13,26.0,32.4,28.2,78.0,4.0,3.7,6.0,80.0,3.0,E ,96741,13-07
2010-07-14,26.0,31.8,28.1,78.0,0.0,3.5,5.0,50.0,2.0,SE,96741,14-07
2010-07-15,26.0,32.6,28.5,73.0,2.0,3.6,5.0,130.0,3.0,S ,96741,15-07
2010-07-16,26.0,28.8,27.0,83.0,5.5,0.0,5.0,60.0,2.0,SE,96741,16-07
2010-07-17,26.0,30.8,27.9,81.0,3.8,0.0,4.0,230.0,2.0,SW,96741,17-07
2010-07-18,26.0,29.6,27.3,84.0,2.4,0.0,3.0,30.0,1.0,NE,96741,18-07
2010-07-19,25.0,30.9,27.4,82.0,7.5,0.0,4.0,310.0,2.0,W ,96741,19-07
2010-07-20,25.0,32.0,27.9,77.0,9.2,8.0,6.0,340.0,2.0,N ,96741,20-07
2010-07-21,25.0,32.6,28.8,78.0,0.0,7.2,5.0,40.0,3.0,NE,96741,21-07
2010-07-22,26.0,32.0,28.6,73.0,0.0,7.0,3.0,340.0,2.0,N ,96741,22-07
2010-07-23,26.0,33.2,29.0,71.0,0.0,7.0,4.0,30.0,2.0,NE,96741,23-07
2010-07-24,26.0,32.4,28.3,68.0,0.0,7.6,5.0,70.0,2.0,NE,96741,24-07
2010-07-25,26.0,32.6,28.9,68.0,2.5,1.8,4.0,110.0,3.0,SE,96741,25-07
2010-07-26,26.0,32.8,28.7,76.0,3.0,6.6,5.0,70.0,3.0,E ,96741,26-07
2010-07-27,26.0,26.6,25.8,91.0,28.5,0.0,4.0,260.0,2.0,W ,96741,27-07
2010-07-28,25.0,30.8,27.3,80.0,1.2,1.7,4.0,50.0,2.0,SE,96741,28-07
2010-07-29,25.0,32.3,28.3,78.0,2.5,5.5,5.0,50.0,3.0,SE,96741,29-07
2010-07-30,26.0,34.2,29.2,73.0,0.0,8.0,5.0,60.0,3.0,E ,96741,30-07
2010-07-31,26.0,32.8,29.0,74.0,0.0,7.9,5.0,50.0,3.0,SW,96741,31-07
2010-08-01,26.0,32.2,28.5,72.0,0.0,7.8,4.0,20.0,2.0,N ,96741,01-08
2010-08-02,27.0,32.7,28.9,72.0,0.0,7.3,5.0,280.0,2.0,N ,96741,02-08
2010-08-03,26.0,32.4,29.0,69.0,0.0,7.9,4.0,30.0,2.0,NE,96741,03-08
2010-08-04,27.0,32.2,29.2,73.0,1.2,4.0,4.0,40.0,2.0,NE,96741,04-08
2010-08-05,26.0,31.8,28.8,76.0,0.0,5.4,4.0,30.0,2.0,NE,96741,05-08
2010-08-06,26.0,32.9,29.0,73.0,18.0,2.8,6.0,270.0,3.0,S ,96741,06-08
2010-08-07,24.0,31.6,27.3,77.0,0.0,6.3,5.0,340.0,2.0,NE,96741,07-08
2010-08-08,26.0,33.0,28.4,72.0,0.0,7.0,5.0,40.0,2.0,NE,96741,08-08
2010-08-09,25.0,32.6,28.3,75.0,0.0,5.4,4.0,330.0,2.0,SE,96741,09-08
2010-08-10,26.0,33.4,29.1,73.0,0.0,7.4,6.0,50.0,3.0,E ,96741,10-08
2010-08-11,27.0,33.4,29.2,72.0,0.0,7.9,6.0,90.0,4.0,SE,96741,11-08
2010-08-12,27.0,32.4,29.2,72.0,0.0,0.5,5.0,130.0,3.0,SE,96741,12-08
2010-08-13,27.0,32.6,28.9,76.0,1.7,5.4,6.0,100.0,4.0,SE,96741,13-08
2010-08-14,26.0,33.1,29.0,72.0,1.5,7.2,6.0,40.0,3.0,NE,96741,14-08
2010-08-15,26.0,32.4,28.7,78.0,0.0,2.2,5.0,40.0,2.0,NE,96741,15-08
2010-08-16,26.0,32.6,28.9,75.0,13.0,7.0,4.0,280.0,2.0,N ,96741,16-08
2010-08-17,25.0,31.4,28.0,78.0,0.0,8.0,5.0,30.0,2.0,NE,96741,17-08
2010-08-18,26.0,32.9,28.5,74.0,10.3,5.3,6.0,280.0,2.0,SW,96741,18-08
2010-08-19,25.0,33.8,28.9,70.0,0.0,6.2,5.0,280.0,2.0,W ,96741,19-08
2010-08-20,26.0,32.8,28.8,72.0,0.0,8.0,4.0,350.0,2.0,S ,96741,20-08
2010-08-21,26.0,33.0,29.0,73.0,18.6,1.4,5.0,150.0,2.0,N ,96741,21-08
2010-08-22,24.0,31.7,27.6,76.0,0.0,4.5,3.0,110.0,2.0,SE,96741,22-08
2010-08-23,27.0,32.4,29.1,71.0,0.0,4.3,5.0,50.0,3.0,NE,96741,23-08
2010-08-24,27.0,32.2,28.0,76.0,2.9,1.7,5.0,70.0,2.0,SE,96741,24-08
2010-08-25,25.0,32.4,28.6,76.0,0.0,6.5,5.0,50.0,2.0,NE,96741,25-08
2010-08-26,26.0,33.3,29.5,72.0,0.0,8.0,5.0,120.0,3.0,NE,96741,26-08
2010-08-27,26.0,32.6,28.2,78.0,,3.6,5.0,30.0,2.0,SW,96741,27-08
2010-08-28,25.0,32.2,28.2,72.0,0.0,5.6,4.0,60.0,2.0,NE,96741,28-08
2010-08-29,27.0,33.2,29.4,69.0,0.0,8.0,6.0,50.0,3.0,NE,96741,29-08
2010-08-30,27.0,32.8,29.7,68.0,0.0,8.0,5.0,40.0,3.0,E ,96741,30-08
2010-08-31,27.0,34.0,29.5,70.0,0.0,8.0,6.0,50.0,3.0,NE,96741,31-08
2010-09-01,27.0,34.0,29.6,72.0,0.0,8.0,6.0,40.0,3.0,NE,96741,01-09
2010-09-02,27.0,33.4,29.4,73.0,1.2,8.0,5.0,30.0,2.0,NE,96741,02-09
2010-09-03,27.0,33.2,29.1,71.0,0.0,6.5,5.0,40.0,2.0,NE,96741,03-09
2010-09-04,27.0,33.0,29.1,73.0,0.0,8.0,5.0,40.0,2.0,NE,96741,04-09
2010-09-05,26.0,32.2,28.1,78.0,1.3,0.4,5.0,40.0,2.0,NE,96741,05-09
2010-09-06,27.0,26.9,26.1,88.0,56.1,0.0,4.0,340.0,2.0,W ,96741,06-09
2010-09-07,27.0,31.0,27.0,84.0,0.8,4.3,4.0,190.0,2.0,SE,96741,07-09
2010-09-08,24.0,31.2,26.4,84.0,3.6,1.2,6.0,270.0,2.0,S ,96741,08-09
2010-09-09,25.0,33.0,26.5,85.0,39.3,5.0,7.0,320.0,2.0,W ,96741,09-09
2010-09-10,24.0,31.6,27.3,80.0,0.0,6.5,3.0,50.0,2.0,S ,96741,10-09
2010-09-11,24.0,32.0,27.5,79.0,1.2,7.7,4.0,40.0,2.0,S ,96741,11-09
2010-09-12,25.0,31.8,28.6,74.0,4.6,6.1,8.0,270.0,2.0,N ,96741,12-09
2010-09-13,25.0,31.8,27.3,81.0,0.5,7.2,4.0,340.0,2.0,N ,96741,13-09
2010-09-14,25.0,32.6,28.3,76.0,0.0,8.0,5.0,60.0,3.0,NE,96741,14-09
2010-09-15,25.0,30.5,27.2,81.0,2.1,2.2,5.0,100.0,2.0,W ,96741,15-09
2010-09-16,26.0,32.9,27.9,70.0,,2.6,8.0,320.0,3.0,W ,96741,16-09
2010-09-17,26.0,30.5,27.4,80.0,0.0,2.1,3.0,130.0,1.0,NE,96741,17-09
2010-09-18,25.0,32.0,28.2,75.0,0.0,5.6,6.0,70.0,2.0,NE,96741,18-09
2010-09-19,25.0,32.4,28.7,81.0,1.0,6.3,4.0,50.0,2.0,NE,96741,19-09
